B,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,3,20,commons-codec,2576c599bbcfc77272cd138fab749df9218ba622,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,src/main/java/org/apache/commons/codec/StringEncoderComparator.java,45,84,,,NO_METHOD,NO_FIELD,
C,VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,1,7,commons-codec,28e7813133a8de8ded191fb6e010123a8e087cd9,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,src/main/java/org/apache/commons/codec/binary/BaseNCodec.java,101,101,,,toString()Ljava/lang/String;,buffer,
P,SS_SHOULD_BE_STATIC,2,18,commons-codec,2576c599bbcfc77272cd138fab749df9218ba622,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,src/main/java/org/apache/commons/codec/binary/BaseNCodec.java,154,154,,,NO_METHOD,PAD,
D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,453c56cff0dbbc0ecefaa7f20b8df6d11d6d12ec,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,src/main/java/org/apache/commons/codec/binary/StringUtils.java,96,96,,,getBytesUnchecked(Ljava/lang/String;Ljava/lang/String;)[B,NO_FIELD,
D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,2576c599bbcfc77272cd138fab749df9218ba622,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,src/main/java/org/apache/commons/codec/binary/StringUtils.java,51,51,,,getBytes(Ljava/lang/String;Ljava/nio/charset/Charset;)[B,NO_FIELD,
D,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,20,commons-codec,4008ff9e49715f77cd6ac956b358160b7e416e69,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,src/main/java/org/apache/commons/codec/digest/Md5Crypt.java,171,171,,,md5Crypt([BLjava/lang/String;Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,
D,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,20,commons-codec,4008ff9e49715f77cd6ac956b358160b7e416e69,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,src/main/java/org/apache/commons/codec/digest/Sha2Crypt.java,137,137,,,sha2Crypt([BLjava/lang/String;Ljava/lang/String;ILjava/lang/String;)Ljava/lang/String;,NO_FIELD,
D,BC_UNCONFIRMED_CAST,3,20,commons-codec,c35dcd2b488f4d2368d8db6d0f92c27b03794cc8,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,src/main/java/org/apache/commons/codec/language/bm/Languages.java,119,119,,,restrictTo(Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;)Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;,NO_FIELD,
D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,2576c599bbcfc77272cd138fab749df9218ba622,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,src/main/java/org/apache/commons/codec/net/BCodec.java,102,102,,,doDecoding([B)[B,NO_FIELD,
D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,2576c599bbcfc77272cd138fab749df9218ba622,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,src/main/java/org/apache/commons/codec/net/BCodec.java,94,94,,,doEncoding([B)[B,NO_FIELD,
